n,algorithm,count,mean_gap,median_gap,pct_optimal,mean_profit,median_profit,mean_time,median_time,mean_std_profit
10,sa,30,0.0,0.0,100.0,375.2333,366.5,0.0884,0.0876,1.3574
10,ts,30,0.0,0.0,100.0,375.2333,366.5,0.3057,0.3168,0.3984
20,sa,30,0.0897,0.0,96.6667,784.6,778.0,0.1124,0.1115,12.055
20,ts,30,0.0303,0.0,93.3333,785.2667,778.0,0.2909,0.2932,12.4955
50,sa,40,,,0.0,1995.6273,2008.8467,0.1911,0.1925,34.6863
50,ts,40,,,0.0,1985.8466,2010.5,0.4721,0.4709,37.6556
1000,sa,20,,,0.0,34923.65,35011.5,4.851,4.8526,324.9665
1000,ts,20,,,0.0,29398.6,29393.5,36.9005,36.8783,311.6908
5000,sa,10,,,0.0,156097.7,155489.5,24.6839,24.7953,829.9308
5000,ts,10,,,0.0,139511.5,139252.5,182.7603,182.6002,570.3268
